"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @niconico_mike: http://t.co/skYPrrDPmj #DJ #Tablet #Stylus #Purple #Nexus #Google #Folio Fits Device nicely. No problems. When ... http:…",FALSE,0,NA,2014-11-16 23:21:37,FALSE,NA,"534124157286371328",NA,"<a href=""http://undertest.com"" rel=""nofollow"">n't currently ha</a>","_ringokou",3,TRUE,FALSE,NA,NA
"Check your #Google page rank with our free website analyzer. http://t.co/HU5RrA1Mt9",FALSE,0,NA,2014-11-16 23:21:28,FALSE,NA,"534124118946226176",NA,"<a href=""http://tweetadder.com"" rel=""nofollow"">TweetAdder v4</a>","qualityfollow",0,FALSE,FALSE,NA,NA
"#Google Peter Kassig, American aid worker and ISIS hostage, beheaded by terrorist group   http://t.co/u6bRpwjCSi #FB",FALSE,0,NA,2014-11-16 23:21:26,FALSE,NA,"534124112621617152",NA,"<a href=""http://momknowsshopping.com/MomKnowsBestOnline.php"" rel=""nofollow"">ReTweetMomKnowsBestOnline</a>","MomKnwsBstOnLn",0,FALSE,FALSE,NA,NA
"RT @FastSEOdirect: #Forum #Profile #Linksis what you need to rank higher in the #Google, #Yahoo &amp; #Bing. http://t.co/EvO4UhnXwB",FALSE,0,NA,2014-11-16 23:21:22,FALSE,NA,"534124094615072768",NA,"<a href=""http://tweetadder.com"" rel=""nofollow"">TweetAdder v4</a>","GetNuFollowers",2,TRUE,FALSE,NA,NA
"Google Introduced Google+ Comments To Blogger's Weblogs http://t.co/IO8fTHRhR5 #GNU/Linux #Google+ #SocialMedia",FALSE,0,NA,2014-11-16 23:21:17,FALSE,NA,"534124073068941312",NA,"<a href=""http://winthecustomer.com/"" rel=""nofollow"">Win the Customer</a>","netizenships",0,FALSE,FALSE,NA,NA
"Google Faces Class Action Suit For Exploiting Contract Workers   http://t.co/17seXzVhBL
  #classactionsuit #google",FALSE,0,NA,2014-11-16 23:21:09,FALSE,NA,"534124038826647553",NA,"<a href=""http://www.ajaymatharu.com/"" rel=""nofollow"">Tweet Old Post</a>","_SuperGossip",0,FALSE,FALSE,NA,NA
"مختارات:  السعودية : المهدي المنتظر يظهر في عسير   http://t.co/3HzhoKtdLt #facebook #twitter #google #youtube http://t.co/Oi6eYp0TbK",FALSE,0,NA,2014-11-16 23:21:05,FALSE,NA,"534124025879199744",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","areehnews",0,FALSE,FALSE,NA,NA
"RT @SEOMrktgDeals: Gauranteed Page 1 #Ranking in #Google, #Yahoo &amp; #Bing or our #SEO services are FREE!!! http://t.co/lAYq2QIRZ5",FALSE,0,NA,2014-11-16 23:21:02,FALSE,NA,"534124009349070849",NA,"<a href=""http://tweetadder.com"" rel=""nofollow"">TweetAdder v4</a>","susanfor",14,TRUE,FALSE,NA,NA
"RT @Paul_O_Williams: Here's How To Figure Out Everything Google Knows About You http://t.co/a3cy4f1w1T via @sai #Google #knows",FALSE,0,NA,2014-11-16 23:21:01,FALSE,NA,"534124005415202816",NA,"<a href=""http://app.twitspringer.com"" rel=""nofollow"">twittwit20142</a>","NewInformation0",1,TRUE,FALSE,NA,NA
"FICS-IT LTD @FICSIT: We don't make our customer rank US #1 on #google: we leave #1 for ... http://t.co/BRVJNPRL3l http://t.co/nKhccMerzN",FALSE,0,NA,2014-11-16 23:20:46,FALSE,NA,"534123946006683649",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","webdesign_alert",0,FALSE,FALSE,NA,NA
"#Google Peter Kassig, American aid worker and ISIS hostage, beheaded by terrorist group   http://t.co/T1dulNfLoI #FB",FALSE,0,NA,2014-11-16 23:20:45,FALSE,NA,"534123940751613952",NA,"<a href=""http://momknowsshopping.com/MomKnowsShopping.php"" rel=""nofollow"">ReTweetMomKnowsShopping</a>","MomKnwsShopping",0,FALSE,FALSE,NA,NA
"RT @GritandoIdeas: Mientras tanto en #Google http://t.co/pGIDgTfQr5",FALSE,0,NA,2014-11-16 23:20:35,FALSE,NA,"534123896711430144",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","C_javiGarcia",29,TRUE,FALSE,NA,NA
"Why don't you just Flip Them The Bird? #Google #Hummingbird 223 http://t.co/hiCF9h8MCD",FALSE,0,NA,2014-11-16 23:20:21,FALSE,NA,"534123837420756995",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","peacockvirtual",0,FALSE,FALSE,NA,NA
"RT @TheFirstStep14: Increase your website visibility on #Google https://t.co/MNVYp5mCbw 
#WordPress #UnitedStates http://t.co/kN5LpDpIUw",FALSE,0,NA,2014-11-16 23:20:05,FALSE,NA,"534123770089197569",NA,"<a href=""http://www.blaccspot.com"" rel=""nofollow"">WordPress Digest App</a>","wp_digest",1,TRUE,FALSE,NA,NA
"RT @SEOMrktgDeals: Gauranteed Page 1 #Ranking in #Google, #Yahoo &amp; #Bing or our #SEO services are FREE!!! http://t.co/lAYq2QIRZ5",FALSE,0,NA,2014-11-16 23:19:51,FALSE,NA,"534123711956148224",NA,"<a href=""http://tweetadder.com"" rel=""nofollow"">TweetAdder v4</a>","GetMoreSEO",14,TRUE,FALSE,NA,NA
"RT @MichaelCerf: Why do I always want to throw up? #help #Google",FALSE,0,NA,2014-11-16 23:19:43,FALSE,NA,"534123681468121088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ROGER_daaT",1,TRUE,FALSE,NA,NA
"#BizTodayUK #Google #chrome #Android #Nexus #Etsy #artisanbot #Yorkshire #Harrogate #fashion #fabric #YVR http://t.co/bqrQEUrHJE via @Etsy",FALSE,0,NA,2014-11-16 23:19:40,FALSE,NA,"534123666900934656",NA,"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","CosimaOrimono",0,FALSE,FALSE,NA,NA
"RT @_kierangoodwin: Check out @worldyoutho's #google page
http://t.co/a8bJDit7eo",FALSE,0,NA,2014-11-16 23:19:25,FALSE,NA,"534123605915746304",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TruthDrivenLife",3,TRUE,FALSE,NA,NA
"Very clear (and short!) introduction on #google #adwords. https://t.co/w2jYYR4LL4",FALSE,0,NA,2014-11-16 23:19:25,FALSE,NA,"534123605861625856",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","nicomento",0,FALSE,FALSE,NA,NA
"Contest: Win A #Google Nexus 6 &amp; Google Nexus 9 from Fremo &amp; AH #android #nexus6 #nexus9  http://t.co/UUAYN5sxUo",FALSE,0,NA,2014-11-16 23:19:13,FALSE,NA,"534123553193349120",NA,"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","tsaunders",0,FALSE,FALSE,NA,NA
"Increase your website visibility on #Google https://t.co/MNVYp5mCbw 
#WordPress #UnitedStates http://t.co/kN5LpDpIUw",FALSE,0,NA,2014-11-16 23:19:02,FALSE,NA,"534123506540085248",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TheFirstStep14",1,FALSE,FALSE,NA,NA
"ブログやってます！サボりまくってますけどね！wよかったら来てくださいw
http://t.co/jdfsFAplXD
#YouTube
#ブログ
#Google",FALSE,0,NA,2014-11-16 23:19:00,FALSE,NA,"534123498524798978",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","kaijo87ken",0,FALSE,FALSE,NA,NA
"Google not paying for content becoming 'toxic' issue for EU politicians   http://t.co/XnFEL4qlxk
  #axelspringer #google",FALSE,0,NA,2014-11-16 23:18:58,FALSE,NA,"534123491394850816",NA,"<a href=""http://www.ajaymatharu.com/"" rel=""nofollow"">Tweet Old Post</a>","BiznessReporter",0,FALSE,FALSE,NA,NA
"We don't make our customer rank US #1 on #google: we leave #1 for THEM!! #seo #webdesign",FALSE,0,NA,2014-11-16 23:18:47,FALSE,NA,"534123444770967552",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FICSIT",0,FALSE,FALSE,NA,NA
"Princess Cruises ship forced to dock after outbreak of norovirus - Los Angeles Times http://t.co/aBbF4M2JEN #google",FALSE,0,NA,2014-11-16 23:18:42,FALSE,NA,"534123425711652864",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","health_google",0,FALSE,FALSE,NA,NA
"Liberia Sets December 25 Goal: No New Ebola Cases - Voice of America http://t.co/xJUQfO6SiO #google #health",FALSE,0,NA,2014-11-16 23:18:42,FALSE,NA,"534123424881197056",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","health_google",0,FALSE,FALSE,NA,NA
"Revamped Obamacare Website Received 100000 Applications in a Day - Bloomberg http://t.co/TIvXDOtbuN #google #health",FALSE,0,NA,2014-11-16 23:18:42,FALSE,NA,"534123423694209025",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","health_google",0,FALSE,FALSE,NA,NA
"RT @MaryfromMarin: ""Sheikh #Google's"" Radical Islam [the #internet goes #halal] http://t.co/XUOqZT93Rm @defiant_infidel @Fingersflying @lit…",FALSE,0,NA,2014-11-16 23:18:37,FALSE,NA,"534123405037957120",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","blogSAFAR",2,TRUE,FALSE,NA,NA
"【Facebook】SEO対策に効果的 !? フェイスブックのいいねを集めると順位が上がるのか？1000いいね集めた時の順位公開します！

http://t.co/AQyw8bXV6q #Facebook #seo #google",FALSE,0,NA,2014-11-16 23:18:37,FALSE,NA,"534123403813208064",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","seolabo85",0,FALSE,FALSE,NA,NA
"US to Begin Screening Travelers From Mali for Ebola - http://t.co/7f5KBTQIXP http://t.co/8kzbr3uocY #google #health",FALSE,0,NA,2014-11-16 23:18:36,FALSE,NA,"534123398704558080",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","health_google",0,FALSE,FALSE,NA,NA
"Ready to quit smoking? Here's what works best - http://t.co/Y2LjPWZ1Ze http://t.co/gA0DiqhWkd #google #health",FALSE,0,NA,2014-11-16 23:18:36,FALSE,NA,"534123397878255616",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","health_google",0,FALSE,FALSE,NA,NA
"Ebola patient Dr. Martin Salia at the Nebraska Medical Center 'extremely ill': 'an… http://t.co/qrMyAdA2nj #google",FALSE,0,NA,2014-11-16 23:18:35,FALSE,NA,"534123395785322497",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","health_google",0,FALSE,FALSE,NA,NA
"AHA: Longer DAPT Better After Stenting - MedPage Today http://t.co/Fqb6wJoRVR #google #health",FALSE,0,NA,2014-11-16 23:18:35,FALSE,NA,"534123394975809536",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","health_google",0,FALSE,FALSE,NA,NA
"Google+ is the second most visited #socialmedia platform with over 400 million users. #Google",FALSE,0,NA,2014-11-16 23:17:47,FALSE,NA,"534123192731066368",NA,"<a href=""http://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","sheenamwhite",0,FALSE,FALSE,NA,NA
"#Glass #Apps - After two years of popping up at high-profile events sporting Google Glass, the gadget that… http://t.co/WitjTEmbzz #Google",FALSE,0,NA,2014-11-16 23:17:41,FALSE,NA,"534123167124434944",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","DekkyPaul",0,FALSE,FALSE,NA,NA
"#Glass #Apps - After two years of popping up at high-profile events sporting Google Glass, the gadget that… http://t.co/oPe5fCYlJf #Google",FALSE,0,NA,2014-11-16 23:17:38,FALSE,NA,"534123155753684992",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","EmnEdgarr",0,FALSE,FALSE,NA,NA
"#Glass #Apps - After two years of popping up at high-profile events sporting Google Glass, the gadget that… http://t.co/q2umF80Ms4 #Google",FALSE,0,NA,2014-11-16 23:17:38,FALSE,NA,"534123153694265344",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","OIGEL",0,FALSE,FALSE,NA,NA
"#Glass #Apps - After two years of popping up at high-profile events sporting Google Glass, the gadget that… http://t.co/6L2c7Z09uP #Google",FALSE,0,NA,2014-11-16 23:17:37,FALSE,NA,"534123150615650304",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","JoshAidennn",0,FALSE,FALSE,NA,NA
"#Glass #Apps - After two years of popping up at high-profile events sporting Google Glass, the gadget that… http://t.co/rmr3WkefIF #Google",FALSE,0,NA,2014-11-16 23:17:36,FALSE,NA,"534123148015177729",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","OIGEL",0,FALSE,FALSE,NA,NA
"#Glass #Apps - After two years of popping up at high-profile events sporting Google Glass, the gadget that… http://t.co/OgjOmG4noo #Google",FALSE,0,NA,2014-11-16 23:17:36,FALSE,NA,"534123145225977856",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","HjjZaky",0,FALSE,FALSE,NA,NA
"#Glass #Apps - After two years of popping up at high-profile events sporting Google Glass, the gadget that… http://t.co/UnpqFW4pQ1 #Google",FALSE,0,NA,2014-11-16 23:17:35,FALSE,NA,"534123143833460736",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","MarioCsrr",0,FALSE,FALSE,NA,NA
"#Glass #Apps - After two years of popping up at high-profile events sporting Google Glass, the gadget that… http://t.co/Zi433pcyny #Google",FALSE,0,NA,2014-11-16 23:17:35,FALSE,NA,"534123142470316032",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","CharlesLcnl",0,FALSE,FALSE,NA,NA
"#Glass #Apps - After two years of popping up at high-profile events sporting Google Glass, the gadget that… http://t.co/Xbw9OrVMnB #Google",FALSE,0,NA,2014-11-16 23:17:33,FALSE,NA,"534123136409554944",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","OctaJaqua",0,FALSE,FALSE,NA,NA
"#Glass #Apps - After two years of popping up at high-profile events sporting Google Glass, the gadget that… http://t.co/6l4qda0LE6 #Google",FALSE,0,NA,2014-11-16 23:17:28,FALSE,NA,"534123113944858627",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","EewGey",0,FALSE,FALSE,NA,NA
"#Glass #Apps - After two years of popping up at high-profile events sporting Google Glass, the gadget that… http://t.co/UQEzuWmrik #Google",FALSE,0,NA,2014-11-16 23:17:23,FALSE,NA,"534123092507754496",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","IsaacGagee",0,FALSE,FALSE,NA,NA
"#Glass #Apps - After two years of popping up at high-profile events sporting Google Glass, the gadget that… http://t.co/fNGzS2mnBB #Google",FALSE,0,NA,2014-11-16 23:17:22,FALSE,NA,"534123089936650240",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","LeonidasBck",0,FALSE,FALSE,NA,NA
"#Glass #Apps - After two years of popping up at high-profile events sporting Google Glass, the gadget that… http://t.co/mTD9u9hJSX #Google",FALSE,0,NA,2014-11-16 23:17:21,FALSE,NA,"534123084911886336",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","JacobDaniiel",0,FALSE,FALSE,NA,NA
"#Glass #Apps - After two years of popping up at high-profile events sporting Google Glass, the gadget that… http://t.co/IjoPyf6xCK #Google",FALSE,0,NA,2014-11-16 23:17:20,FALSE,NA,"534123078091960320",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","DelonDgb",0,FALSE,FALSE,NA,NA
"#Glass #Apps - After two years of popping up at high-profile events sporting Google Glass, the gadget that… http://t.co/KXao4CtMar #Google",FALSE,0,NA,2014-11-16 23:17:19,FALSE,NA,"534123077651554304",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","TervPeyton",0,FALSE,FALSE,NA,NA
"#Glass #Apps - After two years of popping up at high-profile events sporting Google Glass, the gadget that… http://t.co/9vEA4e9MSg #Google",FALSE,0,NA,2014-11-16 23:17:18,FALSE,NA,"534123071611756545",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","LeoniRojo",0,FALSE,FALSE,NA,NA
"#Glass #Apps - After two years of popping up at high-profile events sporting Google Glass, the gadget that… http://t.co/0sJKEkLsW8 #Google",FALSE,0,NA,2014-11-16 23:17:18,FALSE,NA,"534123070558990336",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","OscGarret",0,FALSE,FALSE,NA,NA
"#Glass #Apps - After two years of popping up at high-profile events sporting Google Glass, the gadget that… http://t.co/3iQYZWkEqR #Google",FALSE,0,NA,2014-11-16 23:17:15,FALSE,NA,"534123058466791424",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","TyuHaman",0,FALSE,FALSE,NA,NA
"#Glass #Apps - After two years of popping up at high-profile events sporting Google Glass, the gadget that… http://t.co/o0wf8DqyDv #Google",FALSE,0,NA,2014-11-16 23:17:13,FALSE,NA,"534123049260310528",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","IBosnack",0,FALSE,FALSE,NA,NA
"#Google Releases “#Messenger” #App for #Android That May Replace #Hangouts. #News #Softpedia
http://t.co/PWFP75aQIz",FALSE,0,NA,2014-11-16 23:17:11,FALSE,NA,"534123040985337856",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","hackem",0,FALSE,FALSE,NA,NA
"What #Google Knows About You - Business Insider http://t.co/2IIuqwzDMw",FALSE,0,NA,2014-11-16 23:17:02,FALSE,NA,"534123002607443968",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","SteveZeitch",0,FALSE,FALSE,NA,NA
"検索エンジンで記事が圏外でも画像検索で1位…WEB検索と画像検索はまた別。http://t.co/7z69ww78jF  #SEO #SEO対策 #Google #LPO http://t.co/nQ7K4wdpT4 ##SEO #SEO対策",FALSE,0,NA,2014-11-16 23:16:25,FALSE,NA,"534122850584506369",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","shiraishinyokky",0,FALSE,FALSE,NA,NA
"#Google Liberia Sets December 25 Goal: No New Ebola Cases - Voice of America   http://t.co/NX4kCZCHMM",FALSE,0,NA,2014-11-16 23:16:10,FALSE,NA,"534122786286227456",NA,"<a href=""http://momknowsshopping.com/ReTweetParentingNFamily.php"" rel=""nofollow"">ReTweetParentingNFamily</a>","ParentNFamily",0,FALSE,FALSE,NA,NA
"#seo #google #sem : Xiaomi（小米）、中国ローカルのLSIチップメーカーと提携し、知的財産の強化を狙う【レポート】: Xiaomi（小米）は現在、全力で海外展開を進めているが、新たな国の市場に参入... http://t.co/9tM1Vy3fVV",FALSE,0,NA,2014-11-16 23:16:09,FALSE,NA,"534122780644474880",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","seokensakuenjin",0,FALSE,FALSE,NA,NA
"ヤフオク!:グーグル ネクサス5/EM01L カバー ケース ねこ 現在価格:1,250 円,入札数:-,終了日時:2014/11/17 10:39 http://t.co/SKvcBuAJjV #google #グーグル #sougofollow #相互フォロー",FALSE,0,NA,2014-11-16 23:16:07,FALSE,NA,"534122773786800128",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","gnewsamzn",0,FALSE,FALSE,NA,NA
"Googleニュース検索:GoogleがGmailとInboxを分けた理由 - TechCrunch http://t.co/7sPdGyRXcB #google #グーグル #sougofollow #相互フォロー",FALSE,0,NA,2014-11-16 23:16:06,FALSE,NA,"534122771844853760",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","gnewsamzn",0,FALSE,FALSE,NA,NA
