"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Japan 87. Best Friend's Girl - 三代目 J Soul Brothers from EXILE TRIBE http://t.co/aNVYDMMEDM #Music #iTunes #iPhone #Apple",FALSE,0,NA,2014-11-16 23:23:49,FALSE,NA,"534124710284382208",NA,"<a href=""http://blog.77jp.net"" rel=""nofollow"">iTunes Store Top 10 Songs</a>","mitrank",0,FALSE,FALSE,NA,NA
"North (Deluxe Version) - Matchbox Twenty http://t.co/TtdM2yZrf1 #apple",FALSE,0,NA,2014-11-16 23:23:48,FALSE,NA,"534124707789164544",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","apple_agent",0,FALSE,FALSE,NA,NA
"Australia Paid 18. Facetune - Lightricks Ltd. http://t.co/1EwCD5yzAz #iTunes #iPhone #Apps #Apple",FALSE,0,NA,2014-11-16 23:23:46,FALSE,NA,"534124699815378945",NA,"<a href=""http://sas.pt106.net"" rel=""nofollow"">iPhone アプリ ランキング 日本</a>","apprankjp",0,FALSE,FALSE,NA,NA
"RT @PurpleSmoothiee: Funky Fruit Coasters - Set of 6   http://t.co/MeTRLkKJZh #FeelingFruity #strawberry #orange #lemon #kiwifruit #apple h…",FALSE,0,NA,2014-11-16 23:23:46,FALSE,NA,"534124698477801473",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kjw130384",3,TRUE,FALSE,NA,NA
"Australia 48. How to Train Your Dragon - Dean Deblois &amp; Chris Sanders http://t.co/EHAbup1BKQ #Movies #iTunes #iPhone #Apple",FALSE,0,NA,2014-11-16 23:23:41,FALSE,NA,"534124679049400320",NA,"<a href=""http://blog.77jp.net"" rel=""nofollow"">Top 10 Movies</a>","itmovierank",0,FALSE,FALSE,NA,NA
"Australia 28. Where Do Broken Hearts Go - One Direction http://t.co/W09vO66bFw #Music #iTunes #iPhone #Apple",FALSE,0,NA,2014-11-16 23:23:41,FALSE,NA,"534124677723996161",NA,"<a href=""http://blog.77jp.net"" rel=""nofollow"">iTunes Store Top 10 Songs</a>","mitrank",0,FALSE,FALSE,NA,NA
"Japan Free 27. auお客さまサポート - KDDI CORPORATION http://t.co/F4crgfEAYp #iTunes #iPhone #Apps #Apple",FALSE,0,NA,2014-11-16 23:23:39,FALSE,NA,"534124670056812544",NA,"<a href=""http://sas.pt106.net"" rel=""nofollow"">iPhone アプリ ランキング 日本</a>","apprankjp",0,FALSE,FALSE,NA,NA
"Australia 20. Que Sera (Australian Version) - Justice Crew http://t.co/CcMkqCmB76 #Music #Video #iTunes #iPhone #Apple #Mac",FALSE,0,NA,2014-11-16 23:23:38,FALSE,NA,"534124665241759744",NA,"<a href=""http://blog.77jp.net"" rel=""nofollow"">Top 10 Music Video</a>","itmvideorank",0,FALSE,FALSE,NA,NA
"#deals #Apple iPhone 6 Plus (Space Gray, 16GB) is selling cheaper at INR 62250 today http://t.co/JojB1xk7FA #amazonin",FALSE,0,NA,2014-11-16 23:23:35,FALSE,NA,"534124653925519360",NA,"<a href=""http://www.fliptrak.in"" rel=""nofollow"">fliptrak-node</a>","pricetrak",0,FALSE,FALSE,NA,NA
"Japan 98. 「午後のメロン」「湖底の森」 - 高樹のぶ子 http://t.co/iwVhcJ66BS #AudioBooks #iTunes #iPhone #Apple",FALSE,0,NA,2014-11-16 23:23:32,FALSE,NA,"534124638733758464",NA,"<a href=""http://blog.77jp.net"" rel=""nofollow"">Top 10 AudioBooks</a>","itabrank",0,FALSE,FALSE,NA,NA
"Flickr Find: #Apple's first camera #QuickTake now 20-years-old http://t.co/XkFBtEjRHd",FALSE,0,NA,2014-11-16 23:23:30,FALSE,NA,"534124633772273664",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","jhochwald",0,FALSE,FALSE,NA,NA
"Australia Courses 19. The Writing Process with iPad - O'Neill Public Schools http://t.co/0qLfPCj1q1 #iTunesU #iTunes #iPhone #Apple #Mac",FALSE,0,NA,2014-11-16 23:23:29,FALSE,NA,"534124627795001344",NA,"<a href=""http://blog.77jp.net"" rel=""nofollow"">Top 10 iTunes U</a>","iturank",0,FALSE,FALSE,NA,NA
"RT @itpcastrank: Australia 68. 99% Invisible - Roman Mars http://t.co/pCurLioFDN #Podcast #iTunes #iPhone #Apple",FALSE,0,NA,2014-11-16 23:23:28,FALSE,NA,"534124625127825408",NA,"<a href=""http://www.bbotmaker.com/"" rel=""nofollow"">BBotMaker - Bot à mots-clés</a>","Australia_RT",1,TRUE,FALSE,NA,NA
"RT @itmacapprank: Australia Free 58. 有道词典 - Beijing NetEase Youdao Computer System Co.,Ltd http://t.co/xsLW5puXlJ #Mac #iTunes #Apps #Apple",FALSE,0,NA,2014-11-16 23:23:28,FALSE,NA,"534124623248756736",NA,"<a href=""http://www.bbotmaker.com/"" rel=""nofollow"">BBotMaker - Bot à mots-clés</a>","Australia_RT",1,TRUE,FALSE,NA,NA
"RT @mitarank: Australia 22. 1000 Forms of Fear - Sia http://t.co/MvZdsLcVdN #Music #iTunes #iPhone #Apple",FALSE,0,NA,2014-11-16 23:23:27,FALSE,NA,"534124621441007617",NA,"<a href=""http://www.bbotmaker.com/"" rel=""nofollow"">BBotMaker - Bot à mots-clés</a>","Australia_RT",1,TRUE,FALSE,NA,NA
"Absolutely love how the #iPhone6 feels in your hand. I never want to put it down ������ #Apple #QualityDesign",FALSE,0,NA,2014-11-16 23:23:26,FALSE,NA,"534124613216002048",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","abidlallani",0,FALSE,FALSE,NA,NA
"@Antholelyonnais je suis bien le seul a manger des bonne Apple a 00h22 hum c'est ça #Apple  ça c'est de la pomme http://t.co/XgA4Z2Od0u",FALSE,1,"Antholelyonnais",2014-11-16 23:23:21,FALSE,NA,"534124594807185408","1389465768","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ducarne_M",0,FALSE,FALSE,"3.5884353","50.23405291"
