"obs","year","month","day","date","latitude","longitude","zon.winds","mer.winds","humidity","air temp.","s.s.temp."
2471,89,1,1,890101,-0.07,-109.99,"-1.6","0",".","20.86","20.83"
2472,89,1,2,890102,-0.08,-109.99,"-1.5","1.3",".","20.69","21"
2473,89,1,3,890103,-0.08,-109.99,"-2.4","0.2",".","20.49","20.48"
2474,89,1,4,890104,-0.08,-109.98,"-2.8","1.8",".","20.62","20.5"
2475,89,1,5,890105,-0.08,-109.99,"-3.5","0.8",".","19.67","19.77"
2476,89,1,6,890106,-0.08,-109.99,"-0.4","1",".","20.17","20.21"
2477,89,1,7,890107,-0.08,-109.99,"-1.8","2.2",".","20.74","20.56"
2478,89,1,8,890108,-0.08,-109.98,"-1.6","1.8",".","20.35","19.98"
2479,89,1,9,890109,-0.07,-109.98,"0.7","2.6",".","20.72","20.33"
2480,89,1,10,890110,-0.07,-109.98,"-0.5","2",".","21.05","20.71"
2481,89,1,11,890111,-0.08,-109.98,"-2.1","1.7",".","21.11","21"
2482,89,1,12,890112,-0.08,-109.98,"-1.3","2.7",".","21.18","20.97"
2483,89,1,13,890113,-0.08,-109.98,"-0.9","0.9",".","21.46","21.43"
2484,89,1,14,890114,-0.07,-109.98,"-3.1","2.8",".","21.47","21.05"
2485,89,1,15,890115,-0.07,-109.98,"-3.4","2.6",".","20.77","20.24"
2486,89,1,16,890116,-0.08,-109.98,"-2.3","1.4",".","20.77","20.39"
2487,89,1,17,890117,-0.07,-109.98,"-3.5","1.6",".","20.57","20.3"
2488,89,1,18,890118,-0.07,-109.98,"-2.7","1.5",".","20.5","20.27"
2489,89,1,19,890119,-0.07,-109.99,"-1.1","2.4",".","20.99","20.91"
2490,89,1,20,890120,-0.07,-109.99,"-1.6","2.1",".","21.52","21.3"
2491,89,1,21,890121,-0.08,-109.98,"-0.7","2.6",".","21.28","21.2"
2492,89,1,22,890122,-0.07,-109.99,"-1.1","1.6",".","21.88","21.71"
2493,89,1,23,890123,-0.07,-109.99,"-2.7","0.8",".","22.25","22.26"
2494,89,1,24,890124,-0.08,-109.99,"-2.7","2.8",".","22.64","23.15"
2495,89,1,25,890125,-0.08,-110,"-1.8","2.8",".","23.15","24.73"
2496,89,1,26,890126,-0.08,-110,"-1.8","4.3",".","23.8","25.25"
2497,89,1,27,890127,-0.08,-110,"-3.6","5.2",".","24.3","25.32"
2498,89,1,28,890128,-0.07,-110,"-4.2","5.9",".","23.88","24.47"
2499,89,1,29,890129,-0.07,-109.99,"-2","4.5",".","23.52","23.91"
2500,89,1,30,890130,-0.07,-109.99,"-2.6","2.5",".","23.41","23.92"
2501,89,1,31,890131,-0.07,-109.99,"-2.4","3.3",".","23.02","23.69"
2502,89,2,1,890201,-0.07,-109.99,"-1.4","1.5",".","23.37","23.65"
2503,89,2,2,890202,-0.07,-109.98,"-1.3","0.2",".","24.15","24.34"
2504,89,2,3,890203,-0.07,-109.98,"-2.7","2.2",".","23.81","23.87"
2505,89,2,4,890204,-0.07,-109.98,"-2.6","2",".","23.09","23.43"
2506,89,2,5,890205,-0.07,-109.99,"-1.5","3.9",".","23.09","23.35"
2507,89,2,6,890206,-0.07,-109.99,"-1.2","4.3",".","23","23.05"
2508,89,2,7,890207,-0.07,-109.99,"-1.2","3.2",".","23.01","23.15"
2509,89,2,8,890208,-0.07,-109.99,"0.4","2.3",".","23.27","23.4"
2510,89,2,9,890209,-0.07,-109.99,"-1","4.1",".","23","23.56"
2511,89,2,10,890210,-0.07,-109.99,"-1.6","-0.8",".","23.14","23.36"
2512,89,2,11,890211,-0.08,-109.98,"-1.4","0",".","23.59","23.75"
2513,89,2,12,890212,-0.08,-109.98,"0.8","2.8",".","23.72","23.71"
2514,89,2,13,890213,-0.08,-109.99,"0.6","1.3",".","23.87","24.03"
2515,89,2,14,890214,-0.08,-109.98,"-1.7","3.4",".","24.26","24.95"
2516,89,2,15,890215,-0.07,-109.99,"-0.9","0.9",".","24.53","25.38"
2517,89,2,16,890216,-0.08,-109.99,"-0.4","0.7",".","25.5","26"
2518,89,2,17,890217,-0.08,-109.99,"-0.9","0.7",".","25.24","26.37"
2519,89,2,18,890218,-0.08,-109.99,"0.5","-1.9",".","25.55","26.69"
2520,89,2,19,890219,-0.08,-109.99,"-2.4","-1.9",".","24.76","26.67"
2521,89,2,20,890220,-0.08,-109.99,"-1.5","1.8",".","25.35","26.63"
2522,89,2,21,890221,-0.07,-109.99,"-0.3","4.1",".","25.66","26.73"
2523,89,2,22,890222,-0.06,-109.99,"-0.8","1.4",".","25.89","26.99"
2524,89,2,23,890223,-0.06,-109.98,"-2.3","-2.2",".","26.13","26.99"
2525,89,2,24,890224,-0.07,-109.99,"-6.5","-2.3",".","25.86","26.54"
2526,89,2,25,890225,-0.06,-109.99,"-6.4","-2.6",".","25.7","25.64"
2527,89,2,26,890226,-0.07,-109.99,"-4.9","-1.5",".","25.2","25.11"
2528,89,2,27,890227,-0.07,-109.99,"-4.2","-2.5",".","24.82","24.78"
2529,89,2,28,890228,-0.06,-109.99,"-5.2","-2.6",".","24.35","24.38"
2530,89,3,1,890301,-0.07,-109.99,"-4.1","-2.6",".","24.22","24.36"
2531,89,3,2,890302,-0.07,-109.99,"-3.1","-2.5",".","24.19","24.32"
2532,89,3,3,890303,-0.07,-109.99,"-2.4","-0.4",".","24.38","24.63"
2533,89,3,4,890304,-0.07,-109.98,"-2.1","-1.9",".","24.7","24.83"
2534,89,3,5,890305,-0.07,-109.98,"-2.3","-3.4",".","24.67","24.72"
2535,89,3,6,890306,-0.07,-109.99,"-1","-3.1",".","24.71","24.7"
2536,89,3,7,890307,-0.07,-109.99,"-2.9","-2.9",".","24.6","24.84"
2537,89,3,8,890308,-0.08,-109.99,"-3.4","-2.7",".","24.54","25.06"
2538,89,3,9,890309,-0.08,-109.99,"-2.6","-2.9",".","24.64","25.13"
2539,89,3,10,890310,-0.08,-109.99,"-3.9","-1.8",".","24.95","25.17"
2540,89,3,11,890311,-0.08,-109.99,"-3","-2.7",".","24.85","24.92"
2541,89,3,12,890312,-0.08,-109.99,"-4.7","-1.6",".","24.8","24.75"
2542,89,3,13,890313,-0.08,-109.99,"-4","-1.2",".","24.63","24.74"
2543,89,3,14,890314,-0.08,-109.99,"-3.3","-1.8",".","24.44","24.58"
2544,89,3,15,890315,-0.09,-109.99,"-1.7","-2.1",".","24.35","24.67"
2545,89,3,16,890316,-0.08,-109.99,"-1.8","-3.2",".","24.4","24.5"
2546,89,3,17,890317,-0.08,-109.99,"-2.1","-0.9",".","24.01","24.04"
2547,89,3,18,890318,-0.08,-109.99,"-2","-1.2",".","24.02","24.28"
2548,89,3,19,890319,-0.08,-109.99,"-2.6","-1.2",".","24.38","24.5"
2549,89,3,20,890320,-0.08,-109.99,"-2.1","-1.1",".","24.54","24.65"
2550,89,3,21,890321,-0.09,-109.98,"-1.8","-0.7",".","25.17","25.34"
2551,89,3,22,890322,-0.08,-109.99,"-3.7","0",".","24.99","25.3"
2552,89,3,23,890323,-0.08,-109.99,"-3.2","-1.4",".","24.78","25.14"
2553,89,3,24,890324,-0.08,-109.99,"-2.4","-1.4",".","24.87","25.42"
2554,89,3,25,890325,-0.08,-109.99,"-2.8","-1.5",".","25.03","25.34"
2555,89,3,26,890326,-0.08,-109.99,"-3.8","-1.6",".","24.86","25.09"
2556,89,3,27,890327,-0.08,-109.99,"-3.5","-0.9",".","24.88","25.15"
2557,89,3,28,890328,-0.08,-109.98,"-4.3","0.1",".","24.72","24.91"
2558,89,3,29,890329,-0.07,-109.98,"-3.3","0.9",".","24.6","24.83"
2559,89,3,30,890330,-0.07,-109.98,"-0.7","1",".","24.89","24.99"
2560,89,3,31,890331,-0.07,-109.98,"-0.8","-2.2",".","25.13","25.39"
2561,89,4,1,890401,-0.07,-109.98,"-1.9","-3.3",".","24.02","24.28"
2562,89,4,2,890402,-0.07,-109.98,"-2","-0.9",".","24.16","24.23"
2563,89,4,3,890403,-0.07,-109.98,"-2.7","0.2",".","24.37","24.37"
2564,89,4,4,890404,-0.07,-109.98,"-0.9","0.3",".","24.23","24.27"
2565,89,4,5,890405,-0.07,-109.98,"-1.6","-0.6",".","24.67","24.78"
2566,89,4,6,890406,-0.07,-109.98,"-3","-1.9",".","24.2","24.27"
2567,89,4,7,890407,-0.07,-109.98,"-1.7","-0.4",".","24.18","24.35"
2568,89,4,8,890408,-0.07,-109.98,"-1.3","1.1",".","24.59","24.83"
2569,89,4,9,890409,-0.08,-109.98,"-0.5","-0.9",".","24.7","24.96"
2570,89,4,10,890410,-0.07,-109.98,"-0.4","-0.4",".","24.97","24.98"
2571,89,4,11,890411,-0.08,-109.98,"-0.8","-0.4",".","25.43","25.59"
2572,89,4,12,890412,-0.08,-109.98,"-1.4","-0.4",".","25.44","25.82"
2573,89,4,13,890413,-0.08,-109.98,"-1.6","0.1",".","25.68","25.63"
2574,89,4,14,890414,-0.08,-109.98,"-0.4","0.2",".","25.64","25.84"
2575,89,4,15,890415,-0.08,-109.98,"-3","1.7",".","25.62","25.86"
2576,89,4,16,890416,0,-110.15,"-2.8","2.2",".","25.19","25.54"
