"Subject","Angry_meanPushRT","Angry_meanPullRT","Disgust_meanPushRT","Disgust_meanPullRT","Neutral_meanPushRT","Neutral_meanPullRT","Positive_meanPushRT","Positive_meanPullRT"
501,643.1875,621.125,616.1875,624.4375,631.0625,682.875,646.8125,635.25
502,1194.4,1131.9375,1029.2,1190.4375,1233.375,1171.75,1493.1875,1291.125
503,1813.375,1153.86666666667,2267.1875,1001.75,1146.75,1013.8125,1998.1875,1119.5625
504,930.8125,1077.6875,983,920.625,962.5625,954,870.2,1015.25
505,750.733333333333,701.875,618.875,664.5,654.375,602.533333333333,697.5625,713.9375
506,754.875,1794.6875,794.5625,855.125,767.533333333333,811.9375,719.75,800.875
507,971.5,854.9375,815.933333333333,872.8125,1024,841.933333333333,941.75,969.25
508,856.8,873.875,782.0625,803.0625,864.4375,833.75,830.625,826.625
509,638.9375,784.733333333333,846.4375,763,902.75,798.5,652.8,717.9375
510,752.5,705.25,773.25,718.066666666667,803.2,745.9375,718.4375,737.125
511,929.533333333333,1224.625,1072.125,1095.6875,1046.4375,1030,968.1875,1007.3125
512,1216.5,1611.25,1161.5,1504.4375,1454.75,1350.625,1219.875,1436.8125
513,742.9375,716.5625,789.4375,883.125,638.714285714286,734.375,748.375,679.4375
514,1312.35714285714,1185.375,1364.26666666667,1253.5,1246.6875,1387.4375,1150.13333333333,1343.7
515,928.0625,905.1875,861.5625,908.3125,892.125,857.8125,891.3125,853.3125
516,644.625,600.25,716.0625,591.0625,642.5,621.0625,686.8125,590.0625
517,954.9375,937.125,940.0625,895.25,920,872.125,919.5625,917.375
518,702.285714285714,706.125,676.857142857143,891.125,756.625,769.1875,785.866666666667,847.9375
519,575.4375,574.875,588.5625,623.25,571,618.5625,648.125,575.375
520,823.9375,832.8125,1025.125,924.625,900.125,794.5625,1132.5,897.466666666667
521,680,764,748.75,707.9375,703.533333333333,819.625,662.4375,894.75
522,881.0625,917.266666666667,890.8125,973.857142857143,1030.26666666667,1245.875,904.8125,926.466666666667
523,689.25,597.125,672.8125,590.75,637.5,599.9375,672.875,570
524,812.8,792.4375,786.4375,769.533333333333,784.125,844.8125,861.6875,788.6875
525,778.5625,760.0625,752.428571428571,671.125,761.1875,744.5625,685.5625,719.4375
526,744.375,703.9375,767.6875,756.8125,731.0625,942.6,934.125,755.0625
527,732,758.75,604.333333333333,652.6875,718.2,938.428571428571,677.8,751.666666666667
528,929.6,738.375,879.266666666667,953.0625,833.875,827.0625,798.625,888.785714285714
529,639.375,565.375,579.0625,551.4375,613.75,551.75,596.8125,663.3125
530,547,573.9375,502.125,560.5625,529,562.25,559.9375,670.0625
531,602,590,578.75,565.375,541.875,597.5,599.4375,532.5
532,613.9375,608.5625,605.625,657.125,632.375,679.8125,601.4375,789.5625
533,896.4375,865.0625,1028.875,904.625,931.5625,870.1875,1072.875,862.0625
534,431.625,442.875,484.875,439.0625,469.25,444.875,519.6,478.8125
535,732.928571428571,783.625,908.75,904.4375,826.75,783.125,849.625,747.4375
536,618.875,553.6875,657.733333333333,796.875,601,625.125,591,678.625
537,839.3125,691.6875,726.5625,618.066666666667,613.5,848.3125,775.1875,603.0625
538,621.9375,594,612.3125,572.9375,621.466666666667,576.3125,625.0625,549.875
539,735,608,741.625,624.0625,601.6875,622.125,707.9375,632.8125
540,639.9375,683.375,744.625,669.5,682.5,670.9375,755.9375,631
541,651,676.625,698.1875,649.5,718.214285714286,665,759.266666666667,625.9375
701,681.25,716.4375,736.2,696.75,695.5,1009.6875,716.933333333333,677.75
702,1587.75,1493.875,1563.25,1363.5625,1426.0625,1339.4375,1392.6875,1439.625
703,841,795.866666666667,962.4375,814.666666666667,988.733333333333,840.875,943.9375,799.5
704,532.5625,495.625,505.75,519.0625,558.375,501.0625,501.466666666667,502.75
705,938.4375,951.875,865.1875,1110.0625,881.6875,926.9375,828.5,981.875
706,663.875,633.625,679.625,591.875,709.466666666667,638.4375,699.25,621.5
707,491.5,540.5625,589.1875,564.4375,493.0625,585.5,527.066666666667,544.533333333333
708,677.6875,684.75,682.5625,637.5625,629.4375,684.5625,713.75,679.6875
709,1030.1875,1092.0625,893.25,928.266666666667,794.785714285714,968.4375,921.75,953.066666666667
712,824.0625,809.5,737,793.25,706.1875,758.625,802.75,767.466666666667
713,786.9375,776,737.125,846.0625,736.4375,739.4375,729.5625,778.8125
714,710.25,766.75,801.466666666667,815.4,693.4,713.75,680.625,743.375
715,594.8125,676.75,623.6875,598,599.0625,590.875,596.5,590.5
716,542.1875,512.6875,537.5625,530.625,564.1875,582.4375,567.8125,532.6
717,576.125,563.1875,565.5,570.0625,575.5,572.625,612.5,595.0625
719,657.8125,634.125,643.5625,779.6875,632.125,644.875,767.125,1014.5
720,857.5625,929.75,871.6875,887,870.1875,908.125,883,917.1875
721,571.3125,503.8125,520.3125,527.1875,531.25,555.8125,524,523.4375
722,746.8,769.5625,723.6875,596.333333333333,693.066666666667,775.857142857143,653.571428571429,674.1875
723,764.875,707.4,698,789,787.1875,696.625,750.666666666667,611.25
725,587.625,581,554.125,631,578.375,599.1875,590.75,588.8125
726,731.25,654.8125,654.5,695.4375,660.3125,677.3125,748.625,652.5
727,692.1875,834.5,647.125,708.75,824.9375,719.125,677.625,697.733333333333
