"Subject","Valence","meanPushRT","meanPullRT"
501,"Angry",643.1875,621.125
501,"Disgust",616.1875,624.4375
501,"Neutral",631.0625,682.875
501,"Positive",646.8125,635.25
502,"Angry",1194.4,1131.9375
502,"Disgust",1029.2,1190.4375
502,"Neutral",1233.375,1171.75
502,"Positive",1493.1875,1291.125
503,"Angry",1813.375,1153.86666666667
503,"Disgust",2267.1875,1001.75
503,"Neutral",1146.75,1013.8125
503,"Positive",1998.1875,1119.5625
504,"Angry",930.8125,1077.6875
504,"Disgust",983,920.625
504,"Neutral",962.5625,954
504,"Positive",870.2,1015.25
505,"Angry",750.733333333333,701.875
505,"Disgust",618.875,664.5
505,"Neutral",654.375,602.533333333333
505,"Positive",697.5625,713.9375
506,"Angry",754.875,1794.6875
506,"Disgust",794.5625,855.125
506,"Neutral",767.533333333333,811.9375
506,"Positive",719.75,800.875
507,"Angry",971.5,854.9375
507,"Disgust",815.933333333333,872.8125
507,"Neutral",1024,841.933333333333
507,"Positive",941.75,969.25
508,"Angry",856.8,873.875
508,"Disgust",782.0625,803.0625
508,"Neutral",864.4375,833.75
508,"Positive",830.625,826.625
509,"Angry",638.9375,784.733333333333
509,"Disgust",846.4375,763
509,"Neutral",902.75,798.5
509,"Positive",652.8,717.9375
510,"Angry",752.5,705.25
510,"Disgust",773.25,718.066666666667
510,"Neutral",803.2,745.9375
510,"Positive",718.4375,737.125
511,"Angry",929.533333333333,1224.625
511,"Disgust",1072.125,1095.6875
511,"Neutral",1046.4375,1030
511,"Positive",968.1875,1007.3125
512,"Angry",1216.5,1611.25
512,"Disgust",1161.5,1504.4375
512,"Neutral",1454.75,1350.625
512,"Positive",1219.875,1436.8125
513,"Angry",742.9375,716.5625
513,"Disgust",789.4375,883.125
513,"Neutral",638.714285714286,734.375
513,"Positive",748.375,679.4375
514,"Angry",1312.35714285714,1185.375
514,"Disgust",1364.26666666667,1253.5
514,"Neutral",1246.6875,1387.4375
514,"Positive",1150.13333333333,1343.7
515,"Angry",928.0625,905.1875
515,"Disgust",861.5625,908.3125
515,"Neutral",892.125,857.8125
515,"Positive",891.3125,853.3125
516,"Angry",644.625,600.25
516,"Disgust",716.0625,591.0625
516,"Neutral",642.5,621.0625
516,"Positive",686.8125,590.0625
517,"Angry",954.9375,937.125
517,"Disgust",940.0625,895.25
517,"Neutral",920,872.125
517,"Positive",919.5625,917.375
518,"Angry",702.285714285714,706.125
518,"Disgust",676.857142857143,891.125
518,"Neutral",756.625,769.1875
518,"Positive",785.866666666667,847.9375
519,"Angry",575.4375,574.875
519,"Disgust",588.5625,623.25
519,"Neutral",571,618.5625
519,"Positive",648.125,575.375
520,"Angry",823.9375,832.8125
520,"Disgust",1025.125,924.625
520,"Neutral",900.125,794.5625
520,"Positive",1132.5,897.466666666667
521,"Angry",680,764
521,"Disgust",748.75,707.9375
521,"Neutral",703.533333333333,819.625
521,"Positive",662.4375,894.75
522,"Angry",881.0625,917.266666666667
522,"Disgust",890.8125,973.857142857143
522,"Neutral",1030.26666666667,1245.875
522,"Positive",904.8125,926.466666666667
523,"Angry",689.25,597.125
523,"Disgust",672.8125,590.75
523,"Neutral",637.5,599.9375
523,"Positive",672.875,570
524,"Angry",812.8,792.4375
524,"Disgust",786.4375,769.533333333333
524,"Neutral",784.125,844.8125
524,"Positive",861.6875,788.6875
525,"Angry",778.5625,760.0625
525,"Disgust",752.428571428571,671.125
525,"Neutral",761.1875,744.5625
525,"Positive",685.5625,719.4375
526,"Angry",744.375,703.9375
526,"Disgust",767.6875,756.8125
526,"Neutral",731.0625,942.6
526,"Positive",934.125,755.0625
527,"Angry",732,758.75
527,"Disgust",604.333333333333,652.6875
527,"Neutral",718.2,938.428571428571
527,"Positive",677.8,751.666666666667
528,"Angry",929.6,738.375
528,"Disgust",879.266666666667,953.0625
528,"Neutral",833.875,827.0625
528,"Positive",798.625,888.785714285714
529,"Angry",639.375,565.375
529,"Disgust",579.0625,551.4375
529,"Neutral",613.75,551.75
529,"Positive",596.8125,663.3125
